frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp1/BA_0.66/BA_0.66_1.apx,	51,432,True,6,260,1,432,True,6,260,1
exp1/BA_0.66/BA_0.66_40.apx,	51,720,True,2,86,5,720,True,2,86,5
exp1/BA_0.66/BA_0.66_22.apx,	51,200,True,3,133,4,200,True,3,133,4
exp1/BA_0.66/BA_0.66_26.apx,	51,3840,True,2,89,1,3840,True,2,89,1
exp1/BA_0.66/BA_0.66_29.apx,	51,640,True,5,211,0,640,True,5,211,0
exp1/BA_0.66/BA_0.66_16.apx,	51,108,True,3,136,6,108,True,3,136,6
exp1/BA_0.66/BA_0.66_24.apx,	51,960,True,4,166,0,960,True,4,166,0
exp1/BA_0.66/BA_0.66_19.apx,	51,1104,True,5,223,5,1104,True,5,223,5
exp1/BA_0.66/BA_0.66_4.apx,	51,744,True,4,177,0,744,True,4,177,0
exp1/BA_0.66/BA_0.66_34.apx,	51,512,True,3,144,11,512,True,3,144,11
exp1/BA_0.66/BA_0.66_5.apx,	51,1800,True,3,137,6,1800,True,3,137,6
exp1/BA_0.66/BA_0.66_37.apx,	51,480,True,4,168,0,480,True,4,168,0
exp1/BA_0.66/BA_0.66_27.apx,	51,30,True,5,261,43,30,True,5,261,43
exp1/BA_0.66/BA_0.66_39.apx,	51,416,True,8,345,0,416,True,8,345,0
exp1/BA_0.66/BA_0.66_33.apx,	51,564,True,3,136,1,564,True,3,136,1
exp1/BA_0.66/BA_0.66_38.apx,	51,152,True,4,191,14,152,True,4,191,14
exp1/BA_0.66/BA_0.66_2.apx,	51,680,True,4,178,3,680,True,4,178,3
exp1/BA_0.66/BA_0.66_8.apx,	51,320,True,5,213,1,320,True,5,213,1
exp1/BA_0.66/BA_0.66_12.apx,	51,324,True,4,172,1,324,True,4,172,1
exp1/BA_0.66/BA_0.66_14.apx,	51,352,True,6,266,1,352,True,6,266,1
exp1/BA_0.66/BA_0.66_9.apx,	51,768,True,4,171,0,768,True,4,171,0
exp1/BA_0.66/BA_0.66_30.apx,	51,640,True,5,212,0,640,True,5,212,0
exp1/BA_0.66/BA_0.66_32.apx,	51,192,True,8,336,0,192,True,8,336,0
exp1/BA_0.66/BA_0.66_10.apx,	51,64,True,6,252,2,64,True,6,252,2
exp1/BA_0.66/BA_0.66_20.apx,	51,288,True,5,212,3,288,True,5,212,3
exp1/BA_0.66/BA_0.66_31.apx,	51,72,True,7,301,0,72,True,7,301,0
exp1/BA_0.66/BA_0.66_23.apx,	51,256,True,6,248,0,256,True,6,248,0
exp1/BA_0.66/BA_0.66_18.apx,	51,528,True,4,179,0,528,True,4,179,0
exp1/BA_0.66/BA_0.66_6.apx,	51,624,True,6,262,0,624,True,6,262,0
exp1/BA_0.66/BA_0.66_36.apx,	51,1280,True,5,215,2,1280,True,5,215,2
exp1/BA_0.66/BA_0.66_28.apx,	51,144,True,8,340,1,144,True,8,340,1
exp1/BA_0.66/BA_0.66_3.apx,	51,384,True,6,247,0,384,True,6,247,0
exp1/BA_0.66/BA_0.66_21.apx,	51,640,True,5,214,0,640,True,5,214,0
exp1/BA_0.66/BA_0.66_17.apx,	51,64,True,4,167,0,64,True,4,167,0
exp1/BA_0.66/BA_0.66_13.apx,	51,486,True,2,92,9,486,True,2,92,9
exp1/BA_0.66/BA_0.66_25.apx,	51,480,True,5,207,0,480,True,5,207,0
exp1/BA_0.66/BA_0.66_7.apx,	51,778,True,4,188,11,778,True,4,188,11
exp1/BA_0.66/BA_0.66_11.apx,	51,192,True,8,337,0,192,True,8,337,0
exp1/BA_0.66/BA_0.66_15.apx,	51,352,True,5,217,4,352,True,5,217,4
exp1/BA_0.66/BA_0.66_35.apx,	51,780,True,5,217,1,780,True,5,217,1
exp1/WS_30_0.33/WS_30_0.33_27.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_10.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_30.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_11.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_5.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_26.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_8.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_14.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_35.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_1.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_9.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_4.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_20.apx,	50,1,True,44,460,0,1,True,44,460,0
