frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_40.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_24.apx,	50,1,True,36,1034,0,1,True,36,1034,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_12.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_36.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_22.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_6.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_13.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_9.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_17.apx,	50,1,True,40,1080,0,1,True,40,1080,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_38.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_7.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_8.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_28.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_32.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_10.apx,	50,2,True,27,878,2,2,True,27,878,2
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_26.apx,	50,2,True,32,973,0,2,True,32,973,0
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_20.apx,	50,2,True,30,951,7,2,True,30,951,7
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_31.apx,	50,2,True,25,881,43,2,True,25,881,43
exp2/WS_4_0.5_0.5/WS_4_0.5_0.5_33.apx,	50,2,True,33,1013,16,2,True,33,1013,16
