frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_110.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_128.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_40.apx,	50,2,True,23,830,41,2,True,23,830,41
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_102.apx,	50,2,True,36,1038,0,1,True,38,1059,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_67.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_24.apx,	50,2,True,27,892,10,2,True,27,892,10
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_136.apx,	50,1,True,46,1119,0,1,True,46,1119,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_12.apx,	50,1,True,28,894,0,1,True,28,894,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_77.apx,	50,1,True,42,1097,0,1,True,42,1097,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_140.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_36.apx,	50,1,True,41,1089,0,1,True,41,1089,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_22.apx,	50,2,True,30,941,1,2,True,30,941,1
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_6.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_56.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_13.apx,	50,1,True,43,1104,0,1,True,43,1104,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_81.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_111.apx,	50,1,True,43,1104,0,1,True,43,1104,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_112.apx,	50,1,True,40,1080,0,1,True,40,1080,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_9.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_92.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_147.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_49.apx,	50,2,True,29,945,22,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_73.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_80.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_17.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_90.apx,	50,1,True,37,1047,0,1,True,37,1047,0
