frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp_er2/ER_dg3/ER_dg3_29.apx,	51,1,True,26,902,0,1,True,26,902,0
exp_er2/ER_dg3/ER_dg3_27.apx,	51,1,True,26,894,0,1,True,26,894,0
exp_er2/ER_dg3/ER_dg3_33.apx,	51,1,True,31,1007,0,1,True,31,1007,0
exp_er2/ER_dg3/ER_dg3_5.apx,	51,1,True,27,916,0,1,True,27,916,0
exp_er2/ER_dg3/ER_dg3_38.apx,	51,1,True,26,896,0,1,True,26,896,0
exp_er2/ER_dg3/ER_dg3_22.apx,	51,1,True,24,852,0,1,True,24,852,0
exp_er2/ER_dg3/ER_dg3_19.apx,	51,1,True,26,907,0,1,True,26,907,0
exp_er2/ER_dg3/ER_dg3_6.apx,	51,1,True,26,905,0,1,True,26,905,0
exp_er2/ER_dg3/ER_dg3_24.apx,	51,1,True,30,972,0,1,True,30,972,0
exp_er2/ER_dg3/ER_dg3_32.apx,	51,1,True,25,881,0,1,True,25,881,0
exp_er2/ER_dg3/ER_dg3_37.apx,	51,1,True,28,936,0,1,True,28,936,0
exp_er2/ER_dg3/ER_dg3_11.apx,	51,1,True,25,877,0,1,True,25,877,0
exp_er2/ER_dg3/ER_dg3_4.apx,	51,1,True,24,856,0,1,True,24,856,0
exp_er2/ER_dg3/ER_dg3_17.apx,	51,1,True,25,882,0,1,True,25,882,0
exp_er2/ER_dg3/ER_dg3_7.apx,	51,1,True,27,941,0,1,True,27,941,0
exp_er2/ER_dg3/ER_dg3_25.apx,	51,1,True,24,856,0,1,True,24,856,0
exp_er2/ER_dg3/ER_dg3_16.apx,	51,1,True,36,1092,0,1,True,36,1092,0
exp_er2/ER_dg3/ER_dg3_34.apx,	51,1,True,29,972,0,1,True,29,972,0
exp_er2/ER_dg3/ER_dg3_8.apx,	51,1,True,22,803,0,1,True,22,803,0
exp_er2/ER_dg3/ER_dg3_40.apx,	51,1,True,29,959,0,1,True,29,959,0
exp_er2/ER_dg3/ER_dg3_30.apx,	51,1,True,25,867,0,1,True,25,867,0
exp_er2/ER_dg3/ER_dg3_13.apx,	51,1,True,31,1009,0,1,True,31,1009,0
exp_er2/ER_dg3/ER_dg3_10.apx,	51,1,True,26,887,0,1,True,26,887,0
exp_er2/ER_dg3/ER_dg3_31.apx,	51,1,True,26,911,0,1,True,26,911,0
exp_er2/ER_dg3/ER_dg3_23.apx,	51,2,True,22,808,5,2,True,22,808,5
exp_er2/ER_dg3/ER_dg3_15.apx,	51,1,True,32,1031,0,1,True,32,1031,0
exp_er2/ER_dg3/ER_dg3_39.apx,	51,1,True,26,909,0,1,True,26,909,0
exp_er2/ER_dg3/ER_dg3_12.apx,	51,2,True,26,904,5,2,True,26,904,5
exp_er2/ER_dg3/ER_dg3_26.apx,	51,1,True,29,959,0,1,True,29,959,0
exp_er2/ER_dg3/ER_dg3_9.apx,	51,1,True,24,855,0,1,True,24,855,0
exp_er2/ER_dg3/ER_dg3_28.apx,	51,1,True,36,1090,0,1,True,36,1090,0
exp_er2/ER_dg3/ER_dg3_2.apx,	51,1,True,25,900,0,1,True,25,900,0
exp_er2/ER_dg3/ER_dg3_1.apx,	51,1,True,26,916,0,1,True,26,916,0
exp_er2/ER_dg3/ER_dg3_35.apx,	51,1,True,26,898,0,1,True,26,898,0
