frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp_wa2/WS_4_0.66/WS_4_0.66_119.apx,	50,3744,True,8,345,2,3744,True,8,345,2
exp_wa2/WS_4_0.66/WS_4_0.66_163.apx,	50,27208,True,1,59,13,27208,True,1,59,13
exp_wa2/WS_4_0.66/WS_4_0.66_79.apx,	50,12008,True,4,185,5,12008,True,4,185,5
exp_wa2/WS_4_0.66/WS_4_0.66_183.apx,	50,9250,True,4,187,8,9250,True,4,187,8
exp_wa2/WS_4_0.66/WS_4_0.66_126.apx,	50,5868,True,3,151,14,5868,True,3,151,14
exp_wa2/WS_4_0.66/WS_4_0.66_22.apx,	50,NaN,NaN,NaN,NaN,NaN,38112,True,1,68,22
exp_wa2/WS_4_0.66/WS_4_0.66_181.apx,	50,4536,True,4,186,9,4536,True,4,186,9
exp_wa2/WS_4_0.66/WS_4_0.66_178.apx,	50,3600,True,7,307,5,3600,True,7,307,5
exp_wa2/WS_4_0.66/WS_4_0.66_145.apx,	50,3456,True,3,145,13,3456,True,3,145,13
exp_wa2/WS_4_0.66/WS_4_0.66_127.apx,	50,10452,True,6,267,3,10452,True,6,267,3
exp_wa2/WS_4_0.66/WS_4_0.66_112.apx,	50,15048,True,2,103,11,15048,True,2,103,11
exp_wa2/WS_4_0.66/WS_4_0.66_172.apx,	50,3384,True,5,225,5,3384,True,5,225,5
exp_wa2/WS_4_0.66/WS_4_0.66_52.apx,	50,15144,True,2,103,10,15144,True,2,103,10
exp_wa2/WS_4_0.66/WS_4_0.66_87.apx,	50,NaN,NaN,NaN,NaN,NaN,41280,True,1,48,4
exp_wa2/WS_4_0.66/WS_4_0.66_90.apx,	50,9408,True,5,226,3,9408,True,5,226,3
exp_wa2/WS_4_0.66/WS_4_0.66_125.apx,	50,13800,True,5,222,1,13800,True,5,222,1
exp_wa2/WS_4_0.66/WS_4_0.66_28.apx,	50,2096,True,7,317,11,2096,True,7,317,11
exp_wa2/WS_4_0.66/WS_4_0.66_147.apx,	50,2268,True,6,271,7,2268,True,6,271,7
exp_wa2/WS_4_0.66/WS_4_0.66_33.apx,	50,4896,True,3,143,9,4896,True,3,143,9
exp_wa2/WS_4_0.66/WS_4_0.66_150.apx,	50,8496,True,6,270,3,8496,True,6,270,3
exp_wa2/WS_4_0.66/WS_4_0.66_148.apx,	50,8976,True,3,150,13,8976,True,3,150,13
exp_wa2/WS_4_0.66/WS_4_0.66_165.apx,	50,NaN,NaN,NaN,NaN,NaN,35280,True,4,182,2
exp_wa2/WS_4_0.66/WS_4_0.66_176.apx,	50,1368,True,6,272,10,1368,True,6,272,10
exp_wa2/WS_4_0.66/WS_4_0.66_173.apx,	50,6160,True,4,185,6,6160,True,4,185,6
exp_wa2/WS_4_0.66/WS_4_0.66_92.apx,	50,4920,True,4,199,21,4920,True,4,199,21
exp_wa2/WS_4_0.66/WS_4_0.66_146.apx,	50,20608,True,6,267,2,20608,True,6,267,2
exp_wa2/WS_4_0.66/WS_4_0.66_36.apx,	50,7622,True,3,142,6,7622,True,3,142,6
exp_wa2/WS_4_0.66/WS_4_0.66_53.apx,	50,8532,True,5,231,7,8532,True,5,231,7
exp_wa2/WS_4_0.66/WS_4_0.66_161.apx,	50,7686,True,3,148,12,7686,True,3,148,12
